0.15934E+02 0.60744E-01 0.00000E+01 240441 0 0 17566 0.10980E+04 0.00000E+01 0.15934E+02 0.00000E+01 0.00000E+01 0
1 18.492 2.4164 1.3326 66.856 18.492
2 16.222 0.4418 2.7235 2685.1 16.222
3 15.742 0.14038 1.2611 500.25 15.742
4 14.557 2.446 1.6463 152.69 14.557
5 15.891 0.2299 1.4467 650.64 15.891
6 15.874 0.17058 1.5197 2674.3 15.874
7 16.194 0.26476 2.3122 3334.7 16.194
8 16.139 0.13299 1.648 2685.3 16.139
9 16.054 0.079003 1.3919 2911.7 16.054
10 14.673 2.4622 1.5919 142.77 14.673
11 16.434 0.52728 3.2085 3942.8 16.434
12 15.949 0.12725 1.1283 342.38 15.949
<lo_statistics>
<cumulated_time> 38.130086000000006 </cumulated_time>
</lo_statistics>
